# k	Real	Imaginary	Magnitude	Phase
6.300000000000000000e+01 -1.246715519638089409e-01 -9.172273211891004974e-02 1.547774384605910269e-01 -2.507296798604157662e+00
6.400000000000000000e+01 8.414902015567635174e-02 6.727415170320205640e-02 1.077351803291101001e-01 6.744143135256894794e-01
6.500000000000000000e+01 1.880807146647200390e-01 -9.131245716623530295e-02 2.090749149528163819e-01 -4.519773257990483128e-01
6.600000000000000000e+01 -1.946954569996325324e-01 9.964278031850311301e-02 2.187121502018057051e-01 2.668559251944384592e+00
6.700000000000000000e+01 -9.726790190075310094e-02 -2.783572724098586776e-02 1.011724886083617686e-01 -2.862866291379854378e+00
6.800000000000000000e+01 2.166130252009076940e-01 -8.887246684742783343e-02 2.341356829922262017e-01 -3.893387893873585526e-01
6.900000000000000000e+01 -2.519854820406525198e-02 7.403122545822624079e-02 7.820223254127291190e-02 1.898872993091692329e+00
7.000000000000000000e+01 -2.585914005544885930e-01 7.687805377385348304e-02 2.697772184466054601e-01 2.852618916079985301e+00
7.100000000000000000e+01 -2.011128146790352317e-02 9.651115061962700636e-04 2.013442530842715975e-02 3.093640877008846601e+00
7.200000000000000000e+01 -2.249942185315011167e-01 -1.503421156030207984e-01 2.706014598936837823e-01 -2.552526255248550147e+00
7.300000000000000000e+01 -4.152957996712780542e-01 1.252978032739546221e-02 4.154847730298417696e-01 3.111431066184838112e+00
7.400000000000000000e+01 4.154899145562147567e-01 -2.849100438148883807e-01 5.037912287491042029e-01 -6.010781316831654841e-01
7.500000000000000000e+01 -1.833240783046513611e-01 1.246736790303537568e-01 2.217007982151025236e-01 2.544366365974604527e+00
7.600000000000000000e+01 4.161272617118980804e-02 -2.457043520436409390e-01 2.492032254859151419e-01 -1.403027320759555385e+00
7.700000000000000000e+01 -3.316045388176086517e-01 -2.633922920260632350e-01 4.234820771451631161e-01 -2.470339204057375948e+00
7.800000000000000000e+01 2.438590682396853115e-01 -1.575266009090267039e-01 2.903134085030852907e-01 -5.735397347785547995e-01
7.900000000000000000e+01 2.360103415432943941e-01 -3.263353294576060160e-01 4.027351841689359446e-01 -9.446596702517475741e-01
8.000000000000000000e+01 -2.406592985376580507e-01 2.716319389739622059e-01 3.629060598052779030e-01 2.295808946460768052e+00
8.100000000000000000e+01 7.581044000262637805e-02 1.539878993564343934e-01 1.716376880571373331e-01 1.113316185775922174e+00
8.200000000000000000e+01 -3.865821341514955600e-01 1.994382820863486172e-01 4.349958330911675719e-01 2.665304963353165135e+00
8.300000000000000000e+01 -2.226004725154994701e-01 -3.698647546019396271e-01 4.316838044922193807e-01 -2.112569790985062035e+00
8.400000000000000000e+01 -2.371694267259290556e-01 -1.203394825182973332e-01 2.659528680542426748e-01 -2.672043538925903405e+00
8.500000000000000000e+01 -2.038453719503367234e-01 7.745153915881448914e-02 2.180634691635453815e-01 2.778487234473845824e+00
8.600000000000000000e+01 -2.059754058765186913e-01 2.533377231921993822e-01 3.265055433192582401e-01 2.253442114300800991e+00
8.700000000000000000e+01 5.579009762783426751e-02 -1.145278383127231320e-01 1.273937233222600107e-01 -1.117496555514483125e+00
8.800000000000000000e+01 -2.933251086914127059e-01 9.131935886282890880e-02 3.072114006542517317e-01 2.839778856152223252e+00
8.900000000000000000e+01 -1.308641124006094669e-01 -2.915196213762477617e-02 1.340718196000667828e-01 -2.922406399858571646e+00
9.000000000000000000e+01 2.110044862892418160e-01 -8.573399478761220549e-02 2.277569122912170840e-01 -3.859372681796540694e-01
9.100000000000000000e+01 1.510537741677060730e-01 -1.680320496314533785e-01 2.259469238419845316e-01 -8.385571517935795915e-01
9.200000000000000000e+01 -7.785713682835301852e-02 1.209896910426886130e-01 1.438757766050773601e-01 2.142590129133094656e+00
9.300000000000000000e+01 7.726152011759482297e-03 -4.806506172467219645e-02 4.868206634383305531e-02 -1.411416090446253824e+00
9.400000000000000000e+01 1.740754468962796564e-01 -2.126424518104128025e-01 2.748073389196206140e-01 -8.847985317906755798e-01
9.500000000000000000e+01 -5.218436142294466396e-02 -1.907040862727365504e-01 1.977150881906584723e-01 -1.837898182113751666e+00
9.600000000000000000e+01 1.587116807604262436e-01 2.496641680668289232e-01 2.958404881457257218e-01 1.004539121770863908e+00
9.700000000000000000e+01 -1.317446794819051581e-01 -2.270880491691355252e-01 2.625369357771085710e-01 -2.096490864886002559e+00
9.800000000000000000e+01 -2.808155252454438283e-02 3.026971880215787447e-01 3.039969756894955744e-01 1.663302653294686850e+00
